BallTreeDeco,Ball Tree,,,,,,,,
BathroomCounter,Bathroom Vanity,,,,,,,,
Bed,Bed 2,,,,,,,,
Bookshelf,Bookshelf,,,,,,,,
BunkBed,Bunk Bed,,,,,,,,
CapacitorMS,Capacitor (Deco),,,,,,,,
CapacitorSS,Capacitor SV (Deco),,,,,,,,
ConsoleLargeMS01,Console (Deco),,,,,,,,
ConsoleLargeMS01a,Console (Deco),,,,,,,,
ConsoleLargeMS02,Console (Deco),,,,,,,,
ConsoleMapMS01,Console (Deco),,,,,,,,
ConsoleMS01,Console (Deco),,,,,,,,
ConsoleSmallMS01,Console (Deco),,,,,,,,
ConsoleSmalNPC,Console NPC,,,,,,,,
ControlStation,Control Station,,,,,,,,
ControlStationNPC,Control Station NPC,,,,,,,,
DecoBlocks,Furnishings (Deco),,,,,,,,
DecoBlocks2,Tech Equipment (Deco),,,,,,,,
ElderberryBushBlueDeco,Blue Bush,,,,,,,,
ElderberryBushDeco,Green Bush 02,,,,,,,,
FantasyPlant1Deco,Lava Plant,,,,,,,,
GlowTube01Deco,Glow Tube Flower,,,,,,,,
HollywoodJuniperDeco,Green Bush 01,,,,,,,,
HoloScreen01,Holographic Screen 01,,,,,,,,
HoloScreen02,Holographic Screen 02,,,,,,,,
HoloScreen03,Holographic Screen 03,,,,,,,,
HoloScreen04,Holographic Screen 04,,,,,,,,
HoloScreen05,Holographic Screen 05,,,,,,,,
IndoorPlant01,Artificial Indoor Plant 1,,,,,,,,
IndoorPlant02,Artificial Indoor Plant 2,,,,,,,,
IndoorPlant03,Artificial Indoor Plant 3,,,,,,,,
IndoorPlants,Artificial Plants (Deco),,,,,,,,
InteriorBath,Interior Bathroom,,,,,,,,
InteriorKitchen,Interior Kitchen,,,,,,,,
InteriorKitchen02,Interior Kitchen 2,,,,,,,,
InteriorLiving,Interior Livingroom,,,,,,,,
InteriorLiving02,Interior Livingroom 2,,,,,,,,
KitchenCounter,Kitchen Counter,,,,,,,,
KitchenTable,Dining Table Bench,,,,,,,,
LabTable1,Lab Table 1,,,,,,,,
LabTable2,Lab Table 2,,,,,,,,
LabTable3,Lab Table 3,,,,,,,,
Level4Prop2,Repository 1,,,,,,,,
Level4Prop3,Repository 2,,,,,,,,
Level5FreezerOpened,Cryo Chamber,,,,,,,,
LockerWShelves,Locker,,,,,,,,
OnionFlowerDeco,Mega Onion Flower,,,,,,,,
OperationTableWDrawers,Operating Table,,,,,,,,
Props6BoxLarge1,Box Large 1,,,,,,,,
Props6BoxLarge2,Box Large 2,,,,,,,,
Props6BoxMedium1,Box Medium,,,,,,,,
ReceptionTable,Reception Table,,,,,,,,
ReceptionTableCorner,Reception Table Corner,,,,,,,,
ReceptionTableCornerThin,Reception Table Corner - Thin,,,,,,,,
ReceptionTableNPC,Reception Table NPC,,,,,,,,
ReceptionTableThin,Reception Table - Thin,,,,,,,,
SciencelabMS,Science Lab (Deco),,,,,,,,
ScifiBed,Bed,,,,,,,,
ScifiChair,Chair,,,,,,,,
ScifiComputerTable,Computer Table,,,,,,,,
ScifiContainer1,Cargo Box 1,,,,,,,,
ScifiContainer2,Cargo Box 2,,,,,,,,
ScifiContainerEnergy,Power Storage (Deco),,,,,,,,
ScifiContainerPower,Cargo Box 3,,,,,,,,
ScifiLargeSofa,Bench,,,,,,,,
ScifiLargeSofaNPC,Bench 2 NPC,,,,,,,,
ScifiMediaCenter,Media Center,,,,,,,,
ScifiNightstand,Small Table,,,,,,,,
ScifiPlant,Artificial Indoor Plant 4,,,,,,,,
ScifiShower,Shower 2,,,,,,,,
ScifiSofa,Bench 2,,,,,,,,
ScifiSofaNPC,Bench NPC,,,,,,,,
ScifiStorage,Closet,,,,,,,,
ScifiTable,Table,,,,,,,,
ScifiTableNPC,Table 1 NPC,,,,,,,,
ScifiTableNPC2,Table 2 NPC,,,,,,,,
ScifiTableNPC3,Table 3 NPC,,,,,,,,
ScifiTableV2,Table 2,,,,,,,,
ScifiTableV2NPC,Table 2 NPC,,,,,,,,
Shower,Shower,,,,,,,,
SmallTable,Small Table,,,,,,,,
Sofa,Sofa,,,,,,,,
SofaNPC,Sofa NPC,,,,,,,,
SolarBlock,Solar Panel Slope,,,,,,,,
SolarPanel,Solar Panel Plate,,,,,,,,
StandingNPC,Standing NPC,,,,,,,,
StandingNPC2,Standing NPC 2,,,,,,,,
TableTV,TV Table,,,,,,,,
Tank1,Tank1,,,,,,,,
Tank2,Tank2,,,,,,,,
Toilet,Toilet,,,,,,,,
TurretRadar,Radar (Deco),,,,,,,,
Air,Container,,,,,,,,
AlienContainer,Alien Container,,,,,,,,
AlienContainerRare,Alien Container (Rare),,,,,,,,
AlienContainerUltraRare,Alien Container (Ultra Rare),,,,,,,,
AlienContainerVeryRare,Alien Container (Very Rare),,,,,,,,
AlienDeviceBlocks,Alien Blocks,,,,,,,,
ArmorLocker,Armor Locker,,,,,,,,
ArmorLockerSV,"Armor Locker (SV, HV)",,,,,,,,
ATM,ATM,,,,,,,,
AutoMinerCore,Auto Miner Core,,,,,,,,
AutoMiningDeviceT1,Auto Mining Device (T1),,,,,,,,
AutoMiningDeviceT2,Auto Mining Device (T2),,,,,,,,
AutoMiningDeviceT3,Auto Mining Device (T3),,,,,,,,
Backpack,Backpack,,,,,,,,
CloneChamber,Clone Chamber,,,,,,,,
CockpitBlocksCV,Cockpits CV,,,,,,,,
CockpitBlocksSV,Cockpits,,,,,,,,
CockpitMS01,Cockpit 1,,,,,,,,
CockpitMS02,Cockpit 2,,,,,,,,
CockpitMS03,Cockpit 3,,,,,,,,
CockpitOpen2SV,Cockpit 2 (open),,,,,,,,
CockpitOpenSV,Cockpit 1 (open),,,,,,,,
CockpitSV,Cockpit (obsolete),,,,,,,,
CockpitSV_fighter,Cockpit (obsolete),,,,,,,,
CockpitSV_fighter_Noscale,Cockpit (obsolete),,,,,,,,
CockpitSV_ShortRange,Cockpit 2,,,,,,,,
CockpitSV01,Cockpit 1,,,,,,,,
CockpitSV02,Cockpit 3 (Legacy),,,,,,,,
CockpitSV02New,Cockpit 3,,,,,,,,
CockpitSV03,Cockpit 8 (Legacy),,,,,,,,
CockpitSV04,Cockpit 4,,,,,,,,
CockpitSV05,Cockpit 5 (Legacy),,,,,,,,
CockpitSV05New,Cockpit 5,,,,,,,,
CockpitSV06,Cockpit 6,,,,,,,,
CockpitSV07,Cockpit 6 (Legacy),,,,,,,,
CockpitSV07New,Cockpit 7,,,,,,,,
ConsoleBlocks,Consoles (Deco),,,,,,,,
ConstructorMS,Large Constructor (old - please replace),,,,,,,,
ConstructorRecursive,Advanced Constructor (old - please replace),,,,,,,,
ConstructorSV_Old,Mobile Constructor (old - please replace),,,,,,,,
ConstructorT1,Large Constructor (old - please replace),,,,,,,,
ConstructorT1V2,Large Constructor,,,,,,,,
ConstructorT2,Advanced Constructor,,,,,,,,
ContainerAmmoSmall,Small Ammo Box,,,,,,,,
ContainerBlocks,Cargo Boxes,,,,,,,,
ContainerHarvest,Cargo Box (Harvest),,,,,,,,
ContainerMS01,Cargo Box,,,,,,,,
ContainerPersonal,Personal Cargo Box,,,,,,,,
ContainerRandom,Cargo Box (POI),,,,,,,,
ContainerUltraRare,Cargo Box (POI) - Ultra Rare,,,,,,,,
CoreEnemy,Alien Core,,,,,,,,
CoreEnemyAdmin,Alien Core (Admin),,,,,,,,
CoreFlyDir,Core (obsolete),,,,,,,,
CorePlayer,Core,,,,,,,,
CorePlayerAdmin,Core (Admin),,,,,,,,
DockingPad,Docking Pad,,,,,,,,
DoorArmored,Automatic Armored Door,,,,,,,,
DoorArmoredBlocks,Armored Automatic Doors,,,,,,,,
DoorBlocks,Automatic Doors,,,,,,,,
DoorBlocksSV,Manual Doors,,,,,,,,
DoorInterior01,Automatic Door 2,,,,,,,,
DoorInterior01SlimSV,Manual Interior Door (Slim),,,,,,,,
DoorInterior01SV,Manual Interior Door,,,,,,,,
DoorInterior02,Automatic Door 3,,,,,,,,
DoorMS01,Automatic Door 1,,,,,,,,
DoorSS01,Manual Door,,,,,,,,
DoorSS01Slim,Manual Door (Slim),,,,,,,,
DoorVertical,Automatic Door 1 (vert),,,,,,,,
DoorVerticalArmored,Automatic Armored Door 1 (vert),,,,,,,,
DoorVerticalGlass,Automatic Door 2 (vert),,,,,,,,
DropContainer,Drop Container,,,,,,,,
ElevatorMS,Elevator Block,,,,,,,,
EntitySpawner1,NPC Spawner (Pad),,,,,,,,
EntitySpawnerBlock,NPC Spawner (Block),,,,,,,,
EntitySpawnerPlate,NPC Spawner (Plate),,,,,,,,
EntitySpawnerPlateThin,NPC Spawner (Thin Plate),,,,,,,,
ExplosiveBlock,Explosive Block (Self),,,,,,,,
ExplosiveBlock2,Explosive Block (Radius),,,,,,,,
Flare,Flare,,,,,,,,
FoodProcessorMS,Food Processor (old - please replace),,,,,,,,
FoodProcessorV2,Food Processor,,,,,,,,
FridgeSV,Fridge,,,,,,,,
FuelTankMSLarge,Fuel Tank (T2),,,,,,,,
FuelTankMSLargeT2,Fuel Tank (T3),,,,,,,,
FuelTankMSSmall,Fuel Tank (T1),,,,,,,,
FuelTankPOI,Fuel Tank POI,,,,,,,,
FuelTankSV,Fuel Tank,,,,,,,,
Furnace,Furnace,,,,,,,,
GeneratorBA,Small Generator,,,,,,,,
GeneratorMS,Large Generator (T1),,,,,,,,
GeneratorMST2,Large Generator (T2),,,,,,,,
GeneratorSV,Generator,,,,,,,,
GravityGeneratorMS,Gravity Generator,,,,,,,,
HangarDoor14x7,Hangar Door (14x7),,,,,,,,
HangarDoor13x7,Hangar Door (13x7),,,,,,,,
HangarDoor10x5,Hangar Door (10x5),,,,,,,,
HangarDoor9x5,Hangar Door (9x5),,,,,,,,
HangarDoor10x9,Hangar Door (10x9),,,,,,,,
HangarDoor6x3,Hangar Door (6x3),,,,,,,,
HangarDoor5x3,Hangar Door (5x3),,,,,,,,
HangarDoor7x5,Hangar Door (7x5),,,,,,,,
HangarDoorBlocks,Hangar Doors,,,,,,,,
HoverBooster,Hover Booster,,,,,,,,
HoverEngineLarge,Hover Engine (2x2),,,,,,,,
HoverEngineSmall,Hover Engine (1x1),,,,,,,,
HydrogenBottle,Hydrogen Bottle,,,,,,,,
LandinggearBlocksCV,Landinggears,,,,,,,,
LandinggearBlocksHeavySV,Landinggears (T2),,,,,,,,
LandinggearBlocksSV,Landinggears (T1),,,,,,,,
LandinggearDouble,Heavy Landing Gear 1,,,,,,,,
LandinggearDoubleCV,Heavy Landing Gear 1,,,,,,,,
LandinggearDoubleShort,Heavy Landing Gear 2,,,,,,,,
LandinggearDoubleShortCV,Heavy Landing Gear 2,,,,,,,,
LandinggearHeavySV,Heavy Landing Gear 3,,,,,,,,
LandinggearMSHeavy,Heavy Landing Gear 3,,,,,,,,
LandinggearMSLight,Landing Gear 1,,,,,,,,
LandinggearShort,Docking Pad,,,,,,,,
LandinggearSingle,Landing Gear 2,,,,,,,,
LandinggearSingleCV,Landing Gear 2,,,,,,,,
LandinggearSingleShort,Landing Gear 3,,,,,,,,
LandinggearSingleShortCV,Landing Gear 3,,,,,,,,
LandinggearSV,Landing Gear 1,,,,,,,,
LCDFrame1x1,LCD 1x1 (Frame),,,,,,,,
LCDFrame1x2,LCD 1x2 (Frame),,,,,,,,
LCDNoFrame02x05,LCD 0.2x0.5 (No Frame),,,,,,,,
LCDNoFrame02x1,LCD 0.2x1 (No Frame),,,,,,,,
LCDNoFrame05x05,LCD 0.5x0.5 (No Frame),,,,,,,,
LCDNoFrame05x1,LCD 0.5x1 (No Frame),,,,,,,,
LCDNoFrame1x1,LCD 1x1 (No Frame),,,,,,,,
LCDNoFrame1x2,LCD 1x2 (No Frame),,,,,,,,
LCDScreenBlocks,LCD Screens,,,,,,,,
Lever,Lever,,,,,,,,
LightBarrier,Light Barrier,,,,,,,,
LightInterior01,Light 5,,,,,,,,
LightInterior02,Light 6,,,,,,,,
LightLantern,Light (Lantern),,,,,,,,
LightLargeBlocks,Lights,,,,,,,,
LightMS01,Light 1,,,,,,,,
LightMS01Corner,Light 1 (Corner),,,,,,,,
LightMS01Offset,Light 1 (not centered),,,,,,,,
LightMS02,Light 2,,,,,,,,
LightMS03,Light 3,,,,,,,,
LightMS04,Light 4,,,,,,,,
LightPlant01,Plant Grow Light,,,,,,,,
LightSS01,Light,,,,,,,,
LightWork,Portable Work Light 1,,,,,,,,
LightWork02,Portable Work Light 2,,,,,,,,
MedicinelabMS,Medic Station,,,,,,,,
MotionSensor,Motion Sensor,,,,,,,,
